cluster index	parent mass	RTMean	component	#Scan#	Compound_Name
85264	232.2270540106876	8.579416	-1		
89646	232.2544096894485	9.00406	1280		
2658	232.8290737132972	0.74567574	-1		
4521	232.90140842549687	0.87495947	-1		
2750	232.9014296815157	0.7383887	-1		
695	232.9077883560964	0.59125745	-1		
3213	232.92234380414388	0.76717156	-1		
306	232.92810977287263	0.55782694	-1		
16473	232.97691248383745	2.691519	4129		
6185	232.98014409850123	1.0132557	6166		
79976	233.02423324812767	7.9867597	-1		
3542	233.04168425475007	0.81391805	-1		
29309	233.04437231566857	3.895473	10757		
65733	233.04437881781888	6.6222553	-1		
25936	233.0444205687835	3.6160886	-1		
19085	233.0556390046587	2.9270906	934		
1295	233.06311603714704	0.62172604	-1		
13982	233.06340563591743	2.2664711	-1		
73285	233.0725429988642	7.2587304	-1		
513	233.0784444131262	0.5742107	-1		
54838	233.0785729450884	5.788328	-1		
9681	233.07864967337017	1.5234721	-1		
3205	233.0787106776822	0.7634396	-1		
56448	233.07904280511053	5.897829	-1		
60135	233.07947516043288	6.207261	-1		
58080	233.0796585295832	6.05923	5336	58080.0	2-{tetramethyl-1H-pyrazolo[3,4-b]pyridin-5-yl}acetic acid
59123	233.07969690938867	6.1309867	5336	59123.0	2-{tetramethyl-1H-pyrazolo[3,4-b]pyridin-5-yl}acetic acid
62079	233.0799540409159	6.3324337	5394		
63286	233.0800890490244	6.378276	-1		
65968	233.08012331606832	6.626443	4882		
78868	233.08022800971324	7.845457	-1		
18934	233.0802307559157	2.9437742	-1		
53272	233.0802622243773	5.6776814	-1		
33250	233.08029713465888	4.2087855	-1		
70324	233.08034193211927	7.0161324	-1		
69545	233.0803801787415	6.9417734	-1		
40883	233.08040111925925	4.7708	-1		
68265	233.08040386839275	6.814743	1657		
71256	233.080423206211	7.082506	568		
44022	233.08050690845445	5.048062	-1	44022.0	MoNA:2463375 Uralenic Acid
45148	233.0805235456608	5.0945363	-1		
17430	233.0919535722627	2.7965627	227		
15336	233.09198959673355	2.4642432	-1		
25214	233.092001817003	3.5378792	-1		
22322	233.0920117589942	3.3469157	-1		
8888	233.0920124436149	1.3372484	-1	8888.0	Valine_alpha-Ketoisocaproic acid (known isomers: 0; isobaric peaks in run: 2)
41060	233.0920371250257	4.792048	764	41060.0	MoNA:2463375 Uralenic Acid
27023	233.0920392695224	3.7170103	1730		
29359	233.09207065312185	3.9186115	2122		
3828	233.0994538950776	0.82614255	-1		
7306	233.09971830642056	1.1501676	-1		
95061	233.1077638103576	9.47233	568		
73226	233.11055074705013	7.258917	-1		
6013	233.112855845006	0.9921238	-1		
58754	233.1166857106373	6.0861006	-1	58754.0	austadiol
62736	233.1167431623153	6.388377	-1		
54228	233.11680962536977	5.7312713	-1		
55618	233.1168305444613	5.8803463	-1		
64525	233.1170128956349	6.5048323	2831		
80600	233.11711586297287	8.051966	1394		
66271	233.1171352460713	6.6410813	1383		
81598	233.11713569842263	8.120442	1394		
77625	233.11713714550413	7.70312	-1		
49196	233.11714371429247	5.4083514	1877		
84121	233.11714803904903	8.45048	-1		
95862	233.1171527032435	9.503654	568		
72949	233.117154519046	7.2274575	1063		
70183	233.1171607324077	7.0100636	1063		
87306	233.11716170211983	8.748693	15	87306.0	1352524-64-1
89148	233.11716177889227	8.973109	-1		
75618	233.11716226408228	7.4966993	-1		
74250	233.11716645402456	7.338954	-1		
91811	233.11716705847428	9.189158	4233		
90831	233.11716748382847	9.137576	8535		
72001	233.11716934000788	7.150542	-1		
93663	233.11717844941217	9.336577	-1		
92610	233.1171795893636	9.230546	-1		
74535	233.1283638435752	7.3765717	-1		
31759	233.1283757654356	4.0574303	2594		
10816	233.12838554643864	1.725229	-1		
23905	233.12838748771563	3.4237337	-1		
26720	233.12839924060967	3.673919	-1		
21953	233.1284034527212	3.2828422	-1		
20527	233.12841224643216	3.2180016	-1		
74614	233.1319847632524	7.3829246	800		
73240	233.13239391979155	7.2991047	800		
97200	233.13249516228584	9.618032	-1		
60842	233.13877486604343	6.2437487	-1		
31839	233.13913036542388	4.071439	-1		
33493	233.13939494783293	4.2286406	-1		
16579	233.14920144644373	2.7053337	934		
21026	233.14927071611515	3.2159505	899		
10541	233.1493020617324	1.603327	899	10541.0	Spectral Match to Thr-Leu from NIST14
18395	233.149361591925	2.9110537	934		
14243	233.1493883638979	2.35371	899	14243.0	CHEBI:182807
9120	233.14939324449617	1.3570515	899	9120.0	Spectral Match to Thr-Leu from NIST14
7421	233.1494116206525	1.1319592	-1		
55602	233.15349188264872	5.8850627	-1		
48334	233.15350597369027	5.3337154	568		
49951	233.15350620205703	5.436176	-1		
110427	233.1535150405802	10.370152	568		
76931	233.1535189983639	7.6766806	4629		
105989	233.153527889728	10.183046	568		
74667	233.15352893637933	7.364067	-1		
64884	233.1535311835572	6.5435686	-1		
107483	233.15353113402264	10.271946	568		
68792	233.1535324834068	6.8655233	794		
71134	233.15353351858963	7.077376	568		
98805	233.1535337025311	9.702012	568		
89460	233.15353426702225	9.021277	-1		
96230	233.1535406110578	9.477837	568		
67362	233.15353630329136	6.748109	794		
85658	233.1535364483531	8.641699	5182		
86843	233.1535435423237	8.697536	5182		
91331	233.15354471588563	9.181776	-1		
84185	233.15354547481093	8.472101	4769		
82639	233.15354573341696	8.286894	-1		
81070	233.15354651009665	8.102453	-1		
92826	233.15354835914687	9.254897	-1		
20240	233.157664004946	3.1292324	1042		
79169	233.16479299154767	7.891427	-1		
27436	233.1648086310624	3.7332225	-1		
23878	233.1648138839334	3.4376383	-1		
85562	233.1745241829264	8.618746	-1		
65484	233.1745684199725	6.587638	-1		
42307	233.17457588189328	4.8906584	294		
32238	233.1858233460973	4.120845	528		
115393	233.1898748700404	10.702783	-1		
111017	233.1898791852252	10.44779	6659		
99672	233.1898915357088	9.775582	-1		
109427	233.18989362879816	10.359926	-1		
89281	233.18989857012275	9.002722	3751		
98221	233.1899157726747	9.715549	3751		
121000	233.1899201816045	10.994849	6659		
104910	233.21102363115443	10.091942	4466		
115648	233.2262729075404	10.68371	6955		
13698	233.60219454616708	2.2155235	2461		
339	233.9676109912803	0.5367862	-1		
37650	234.012328980492	4.5372367	-1		
3584	234.0136826420453	0.789148	-1		
1863	234.0137550868843	0.6579988	-1		
14120	234.0183996571358	2.307814	-1		
79827	234.0581881023416	7.971533	-1		
8285	234.0610880230907	1.2652206	-1		
18179	234.06213096347588	2.8872352	4690		
20572	234.062137827972	3.1711478	4690		
15199	234.06213926604173	2.4650433	4690		
25221	234.07481295794568	3.5511286	-1		
29291	234.07574892936336	3.9091418	-1		
32995	234.0760706961677	4.170806	-1		
41865	234.07608248579544	4.84224	2122		
16134	234.09698636322275	2.6395876	3780		
1156	234.09722060180832	0.6504069	4419		
4121	234.09732888532736	0.8715992	4419		
19653	234.0984601916797	3.0623727	11264		
22192	234.098506748678	3.30035	-1		
24501	234.09860299093947	3.4389832	-1		
53566	234.10643377911845	5.694799	981		
51409	234.11239524731693	5.544618	195		
17517	234.1124245118185	2.8344324	-1		
49383	234.11242573255456	5.4282017	2197		
25899	234.11242925378545	3.6067495	-1		
11325	234.11243271367744	1.8374573	4388		
56916	234.1124537689173	5.9832735	-1		
54015	234.11245429313072	5.7254696	195		
41629	234.112482308873	4.8422055	-1		
13714	234.1158448288126	2.2239323	2780		
80988	234.12040820173576	8.1063595	1394		
89157	234.1204121253033	8.969325	-1		
91920	234.12046565981112	9.195745	4233		
93510	234.12048719464943	9.341855	-1		
64432	234.12050339624253	6.514475	-1		
21988	234.1237769970978	3.2833612	-1		
54823	234.1238364773748	5.7788987	340		
122547	234.1253868463248	11.075014	-1		
65406	234.1275337924175	6.583043	-1		
66500	234.12754233656327	6.676423	-1		
11061	234.1329735254681	1.7213427	501		
15074	234.13310459235643	2.4442923	-1		
10326	234.1331474809357	1.6806695	501		
31833	234.13321398986184	4.0797296	-1		
8551	234.133276753678	1.2815863	4056		
22244	234.13328504808013	3.294434	86		
20952	234.1333069263404	3.215659	86		
39756	234.13332469784748	4.6877127	-1		
26492	234.13341482645927	3.6651983	86		
69000	234.14726078870936	6.8875475	-1		
16639	234.1487192944931	2.7353303	3818		
78465	234.1487789950696	7.7825217	3753		
82290	234.14879200964296	8.201634	427		
13871	234.14878429048457	2.197032	1020		
43856	234.14879946401976	5.046137	-1		
28547	234.14880451934283	3.7805004	-1		
12524	234.1488031177388	2.051773	9151		
15796	234.14880411844672	2.5694258	3818		
72759	234.1488205275836	7.2097735	-1		
63513	234.14883790315304	6.4547634	427		
101458	234.14902103396847	9.895097	4762		
94478	234.15183208529635	9.416009	-1		
100931	234.1619095552963	9.869706	7376		
14016	234.1698442302065	2.2755723	2740		
14667	234.1698544956876	2.3599522	2740		
5605	234.1699961696629	0.96809125	3646		
418	234.1811383309764	0.57349056	-1		
68366	234.1851586802737	6.833985	-1		
38437	234.18516916721384	4.6052756	-1		
107852	234.1851786940624	10.287467	-1		
103173	234.18519343830053	10.000238	1272		
80462	234.1852312634124	8.035984	955		
53080	234.20630151166787	5.6649995	1963		
85111	234.22153872485828	8.597998	-1		
83259	234.22153975060496	8.347459	-1		
86238	234.22154511532827	8.667955	-1		
